# Evaluating Accuracy 
Root Mean Squared Error (RMSE) on testSevere data = 5.92071
Root Mean Squared Error (RMSE) on testMinor data = 5.99539

# Prediction of the next week for Sever Crime 
+----+--------------------+-----+------------------+
|Beat|            features|label|        prediction|
| 631|[4.0,2.0,4.0,2.0,...|    2| 5.452959079710643|
|1111|[2.0,4.0,2.0,4.0,...|    2|  5.24215758522877|
| 532|[2.0,2.0,4.0,2.0,...|    3| 5.062469883424761|
|1622|[3.0,2.0,2.0,4.0,...|    3|5.0729685946725365|
|1712|[3.0,3.0,2.0,2.0,...|    2| 4.941030561680613|
| 523|[2.0,3.0,3.0,2.0,...|    4| 4.946712352344486|
| 231|[4.0,2.0,3.0,3.0,...|    2| 5.376686375564974|
| 734|[2.0,4.0,2.0,3.0,...|    4| 5.069062234520764|
| 113|[4.0,2.0,4.0,2.0,...|    1| 5.452959079710643|
|1421|[1.0,4.0,2.0,4.0,...|    3|  5.24215758522877|
| 323|[3.0,1.0,4.0,2.0,...|    1| 5.069017211320525|
| 812|[1.0,3.0,1.0,4.0,...|    1|5.0603531878430985|
| 933|[1.0,1.0,3.0,1.0,...|    2| 4.940459833512526|
|1731|[2.0,1.0,1.0,3.0,...|    1|  4.92823071495289|
| 512|[1.0,2.0,1.0,1.0,...|    1|  4.92823071495289|
| 531|[1.0,1.0,2.0,1.0,...|    1|  4.92823071495289|
|1632|[1.0,1.0,1.0,2.0,...|    3|  4.92823071495289|
| 732|[3.0,1.0,1.0,1.0,...|    2| 4.934778042848654|
|1511|[2.0,3.0,1.0,1.0,...|    2|4.9344832337848485|
| 724|[2.0,2.0,3.0,1.0,...|    1| 4.940459833512526|
| 432|[1.0,2.0,2.0,3.0,...|    2|  4.92823071495289|
| 824|[2.0,1.0,2.0,2.0,...|    4|  4.92823071495289|
| 221|[4.0,2.0,1.0,2.0,...|    1| 5.379771753292021|
| 813|[1.0,4.0,2.0,1.0,...|    1| 5.069062234520764|
| 131|[1.0,1.0,4.0,2.0,...|    2| 5.062469883424761|
|1412|[2.0,1.0,1.0,4.0,...|    1| 5.054100669011139|
| 331|[1.0,2.0,1.0,1.0,...|    1|  4.92823071495289|
